Iout,V1,V2,Vout
-3.63938973E-07,0.30254,0.5,0.6
-3.63938874E-07,0.30255,0.5,0.6
-3.63938724E-07,0.30256,0.5,0.6
-3.63938547E-07,0.30257,0.5,0.6
-3.6393843E-07,0.30258,0.5,0.6
-3.63938362E-07,0.30259,0.5,0.6
-3.63938213E-07,0.3026,0.5,0.6
-3.63938131E-07,0.30261,0.5,0.6
-3.63938032E-07,0.30262,0.5,0.6
-3.63937936E-07,0.30263,0.5,0.6
-3.63937747E-07,0.30264,0.5,0.6
-3.63937698E-07,0.30265,0.5,0.6
-3.63937509E-07,0.30266,0.5,0.6
-3.63937428E-07,0.30267,0.5,0.6
-3.63937289E-07,0.30268,0.5,0.6
-3.63937144E-07,0.30269,0.5,0.6
-3.6393703E-07,0.3027,0.5,0.6
-3.63936991E-07,0.30271,0.5,0.6
-3.63936788E-07,0.30272,0.5,0.6
-3.63936724E-07,0.30273,0.5,0.6
-3.63936582E-07,0.30274,0.5,0.6
-3.63936469E-07,0.30275,0.5,0.6
-3.63936344E-07,0.30276,0.5,0.6
-3.63936216E-07,0.30277,0.5,0.6
-3.63936127E-07,0.30278,0.5,0.6
-3.63936014E-07,0.30279,0.5,0.6
-3.63935893E-07,0.3028,0.5,0.6
-3.63935726E-07,0.30281,0.5,0.6
-3.6393563E-07,0.30282,0.5,0.6
-3.63935484E-07,0.30283,0.5,0.6
-3.63935431E-07,0.30284,0.5,0.6
-3.6393531E-07,0.30285,0.5,0.6
-3.63935204E-07,0.30286,0.5,0.6
-3.63934983E-07,0.30287,0.5,0.6
-3.63934902E-07,0.30288,0.5,0.6
-3.63934731E-07,0.30289,0.5,0.6
-3.63934703E-07,0.3029,0.5,0.6
-3.63934486E-07,0.30291,0.5,0.6
-3.63934415E-07,0.30292,0.5,0.6
-3.63934355E-07,0.30293,0.5,0.6
-3.63934177E-07,0.30294,0.5,0.6
-3.63934031E-07,0.30295,0.5,0.6
-3.63933928E-07,0.30296,0.5,0.6
-3.63933882E-07,0.30297,0.5,0.6
-3.63933797E-07,0.30298,0.5,0.6
-3.63933594E-07,0.30299,0.5,0.6
-3.63933427E-07,0.303,0.5,0.6
-3.63933388E-07,0.30301,0.5,0.6
-3.6393326E-07,0.30302,0.5,0.6
-3.63933101E-07,0.30303,0.5,0.6
-3.6393298E-07,0.30304,0.5,0.6
-3.6393293E-07,0.30305,0.5,0.6
-3.63932738E-07,0.30306,0.5,0.6
-3.63932628E-07,0.30307,0.5,0.6
-3.63932493E-07,0.30308,0.5,0.6
-3.63932443E-07,0.30309,0.5,0.6
-3.63932244E-07,0.3031,0.5,0.6
-3.63932166E-07,0.30311,0.5,0.6
-3.63932056E-07,0.30312,0.5,0.6
-3.63931953E-07,0.30313,0.5,0.6
-3.63931804E-07,0.30314,0.5,0.6
-3.63931658E-07,0.30315,0.5,0.6
-3.63931527E-07,0.30316,0.5,0.6
-3.63931463E-07,0.30317,0.5,0.6
-3.63931267E-07,0.30318,0.5,0.6
-3.63931225E-07,0.30319,0.5,0.6
-3.63931093E-07,0.3032,0.5,0.6
-3.6393094E-07,0.30321,0.5,0.6
-3.63930802E-07,0.30322,0.5,0.6
-3.63930717E-07,0.30323,0.5,0.6
-3.63930646E-07,0.30324,0.5,0.6
-3.63930457E-07,0.30325,0.5,0.6
-3.6393034E-07,0.30326,0.5,0.6
-3.6393029E-07,0.30327,0.5,0.6
-3.63930138E-07,0.30328,0.5,0.6
-3.63929953E-07,0.30329,0.5,0.6
-3.63929949E-07,0.3033,0.5,0.6
-3.63929793E-07,0.30331,0.5,0.6
-3.63929672E-07,0.30332,0.5,0.6
-3.63929498E-07,0.30333,0.5,0.6
-3.63929352E-07,0.30334,0.5,0.6
-3.63929278E-07,0.30335,0.5,0.6
-3.63929132E-07,0.30336,0.5,0.6
-3.63929072E-07,0.30337,0.5,0.6
-3.63928947E-07,0.30338,0.5,0.6
-3.63928795E-07,0.30339,0.5,0.6
-3.6392861E-07,0.3034,0.5,0.6
-3.63928493E-07,0.30341,0.5,0.6
-3.63928468E-07,0.30342,0.5,0.6
-3.6392829E-07,0.30343,0.5,0.6
-3.6392818E-07,0.30344,0.5,0.6
-3.63928013E-07,0.30345,0.5,0.6
-3.63927924E-07,0.30346,0.5,0.6
-3.63927825E-07,0.30347,0.5,0.6
-3.63927693E-07,0.30348,0.5,0.6
-3.63927647E-07,0.30349,0.5,0.6
-3.63927551E-07,0.3035,0.5,0.6
-3.63927338E-07,0.30351,0.5,0.6
-3.63927199E-07,0.30352,0.5,0.6
-3.63927143E-07,0.30353,0.5,0.6
-3.63927079E-07,0.30354,0.5,0.6
-3.63926873E-07,0.30355,0.5,0.6
-3.63926713E-07,0.30356,0.5,0.6
-3.6392661E-07,0.30357,0.5,0.6
-3.63926524E-07,0.30358,0.5,0.6
-3.63926357E-07,0.30359,0.5,0.6
-3.63926301E-07,0.3036,0.5,0.6
-3.63926208E-07,0.30361,0.5,0.6
-3.63926063E-07,0.30362,0.5,0.6
-3.63925974E-07,0.30363,0.5,0.6
-3.639258E-07,0.30364,0.5,0.6
-3.63925722E-07,0.30365,0.5,0.6
-3.63925516E-07,0.30366,0.5,0.6
-3.63925423E-07,0.30367,0.5,0.6
-3.6392537E-07,0.30368,0.5,0.6
-3.63925196E-07,0.30369,0.5,0.6
-3.63925079E-07,0.3037,0.5,0.6
-3.63924904E-07,0.30371,0.5,0.6
-3.63924862E-07,0.30372,0.5,0.6
-3.63924656E-07,0.30373,0.5,0.6
-3.6392461E-07,0.30374,0.5,0.6
-3.63924489E-07,0.30375,0.5,0.6
-3.63924283E-07,0.30376,0.5,0.6
-3.63924205E-07,0.30377,0.5,0.6
-3.63924084E-07,0.30378,0.5,0.6
-3.63924027E-07,0.30379,0.5,0.6
-3.63923835E-07,0.3038,0.5,0.6
-3.6392375E-07,0.30381,0.5,0.6
-3.63923636E-07,0.30382,0.5,0.6
-3.63923519E-07,0.30383,0.5,0.6
-3.63923363E-07,0.30384,0.5,0.6
-3.63923263E-07,0.30385,0.5,0.6
-3.63923125E-07,0.30386,0.5,0.6
-3.63923007E-07,0.30387,0.5,0.6
-3.63922911E-07,0.30388,0.5,0.6
-3.63922805E-07,0.30389,0.5,0.6
-3.63922727E-07,0.3039,0.5,0.6
-3.63922553E-07,0.30391,0.5,0.6
-3.63922403E-07,0.30392,0.5,0.6
-3.63922354E-07,0.30393,0.5,0.6
-3.6392213E-07,0.30394,0.5,0.6
-3.63922041E-07,0.30395,0.5,0.6
-3.63921931E-07,0.30396,0.5,0.6
-3.63921849E-07,0.30397,0.5,0.6
-3.63921639E-07,0.30398,0.5,0.6
-3.63921536E-07,0.30399,0.5,0.6
-3.63921448E-07,0.304,0.5,0.6
-3.63921281E-07,0.30401,0.5,0.6
-3.63921234E-07,0.30402,0.5,0.6
-3.63921085E-07,0.30403,0.5,0.6
-3.63920989E-07,0.30404,0.5,0.6
-3.6392084E-07,0.30405,0.5,0.6
-3.63920734E-07,0.30406,0.5,0.6
-3.63920623E-07,0.30407,0.5,0.6
-3.63920488E-07,0.30408,0.5,0.6
-3.63920361E-07,0.30409,0.5,0.6
