frequency,Tmag,Tphase
39810.7171,26.9434364,-90.0963475
44668.3592,25.9434202,-90.2220103
50118.7234,24.943369,-90.3506211
56234.1325,23.9432802,-90.4838845
63095.7344,22.9431488,-90.6235659
70794.5784,21.942968,-90.7715202
79432.8235,20.9427282,-90.929709
89125.0938,19.9424166,-91.1002301
100000,18.9420164,-91.2853434
112201.845,17.9415066,-91.4875037
125892.541,16.9408598,-91.7093898
141253.754,15.9400417,-91.9539393
158489.319,14.9390086,-92.2243898
177827.941,13.9377056,-92.5243199
199526.231,12.9360633,-92.857694
223872.114,11.9339941,-93.2289137
251188.643,10.9313879,-93.6428747
281838.293,9.92810572,-94.1050264
316227.766,8.9239728,-94.6214403
354813.389,7.91876882,-95.1988824
398107.171,6.91221646,-95.8448921
446683.592,5.90396646,-96.5678682
501187.234,4.89357888,-97.3771586
562341.325,3.88049986,-98.2831536
630957.344,2.86403163,-99.2973802
707945.784,1.84329533,-100.432594
794328.235,0.817184052,-101.702859
891250.938,-0.215696783,-103.123604
1000000,-1.25710313,-104.711647
1122018.45,-2.30924673,-106.485145
1258925.41,-3.37491169,-108.463449
1412537.54,-4.45759962,-110.666783
1584893.19,-5.56170942,-113.115676
1778279.41,-6.69275294,-115.829994
1995262.31,-7.8576099,-118.827373
2238721.14,-9.0648128,-122.12075
2511886.43,-10.3248333,-125.714572
2818382.93,-11.6503102,-129.599117
3162277.66,-13.0560865,-133.742231
3548133.89,-14.558818,-138.077823
3981071.71,-16.1757273,-142.490896
4466835.92,-17.9218356,-146.800259
5011872.34,-19.8047154,-150.743596
5623413.25,-21.8157465,-153.977
6309573.44,-23.9178917,-156.114646
7079457.84,-26.0343128,-156.84831
7943282.35,-28.0516801,-156.164266
8912509.38,-29.8573355,-154.546147
10000000,-31.4016687,-152.893936
11220184.5,-32.727663,-152.085432
12589254.1,-33.9331418,-152.581624
14125375.4,-35.1123654,-154.404341
15848931.9,-36.3271267,-157.338034
17782794.1,-37.6069272,-161.110283
19952623.1,-38.9592015,-165.479761
22387211.4,-40.378745,-170.260688
25118864.3,-41.8538741,-175.319579
28183829.3,-43.3699102,-180.563889
31622776.6,-44.911019,-185.930451
35481338.9,-46.4611889,-191.376195
39810717.1,-48.004837,-196.871439
44668359.2,-49.5273151,-202.395347
50118723.4,-51.015418,-207.932929
56234132.5,-52.4578766,-213.473118
63095734.4,-53.8457579,-219.007673
70794578.4,-55.1726937,-224.530824
79432823.5,-56.4348996,-230.039406
89125093.8,-57.6309782,-235.533119
100000000,-58.7615313,-241.014409
112201845,-59.8286165,-246.487708
125892541,-60.835107,-251.958007
141253754,-61.7840303,-257.429061
158489319,-62.6779755,-262.901594
177827941,-63.5186593,-268.371833
199526231,-64.3067161,-273.830532
223872114,-65.0417412,-279.262507
251188643,-65.7225618,-284.646655
281838293,-66.3476715,-289.956476
316227766,-66.9157334,-295.161133
354813389,-67.4260519,-300.227086
398107171,-67.8789282,-305.120194
446683592,-68.2758439,-309.808056
