v(Vout),v(V1),v(V2)
1.7999998,1.4,0.3
1.7999998,1.41,0.3
1.7999998,1.42,0.3
1.7999998,1.43,0.3
1.7999998,1.44,0.3
1.7999998,1.45,0.3
1.7999998,1.46,0.3
1.7999998,1.47,0.3
1.7999998,1.48,0.3
1.7999998,1.49,0.3
1.7999998,1.5,0.3
1.7999998,1.51,0.3
1.7999998,1.52,0.3
1.7999998,1.53,0.3
1.7999998,1.54,0.3
1.7999998,1.55,0.3
1.7999998,1.56,0.3
1.7999998,1.57,0.3
1.7999998,1.58,0.3
1.7999998,1.59,0.3
1.7999998,1.6,0.3
1.7999998,1.61,0.3
1.7999998,1.62,0.3
1.7999998,1.63,0.3
1.7999998,1.64,0.3
1.7999998,1.65,0.3
1.7999998,1.66,0.3
1.7999998,1.67,0.3
1.7999998,1.68,0.3
1.7999998,1.69,0.3
1.7999998,1.7,0.3
1.7999998,1.71,0.3
1.7999998,1.72,0.3
1.7999998,1.73,0.3
1.7999998,1.74,0.3
1.7999998,1.75,0.3
1.7999998,1.76,0.3
1.7999998,1.77,0.3
1.7999998,1.78,0.3
1.7999998,1.79,0.3
1.7999998,1.8,0.3
0.0216917859,0,0.5
0.0216923519,0.01,0.5
0.0216929847,0.02,0.5
0.0216936326,0.03,0.5
0.02169433,0.04,0.5
0.021695056,0.05,0.5
0.0216958382,0.06,0.5
0.0216966688,0.07,0.5
0.0216975452,0.08,0.5
0.0216984924,0.09,0.5
0.0216995011,0.1,0.5
0.0217005871,0.11,0.5
0.0217017543,0.12,0.5
0.0217030151,0.13,0.5
0.0217043751,0.14,0.5
0.0217058448,0.15,0.5
0.0217074464,0.16,0.5
0.0217091967,0.17,0.5
0.0217110945,0.18,0.5
0.0217131892,0.19,0.5
0.0217154911,0.2,0.5
0.0217180228,0.21,0.5
0.0217208334,0.22,0.5
0.0217239649,0.23,0.5
0.0217274546,0.24,0.5
0.021731374,0.25,0.5
0.0217357865,0.26,0.5
0.0217407818,0.27,0.5
0.0217464611,0.28,0.5
0.0217529507,0.29,0.5
0.0217604176,0.3,0.5
0.0217690453,0.31,0.5
0.0217790795,0.32,0.5
0.0217908293,0.33,0.5
0.0218046855,0.34,0.5
0.0218211675,0.35,0.5
0.0218409508,0.36,0.5
0.021864986,0.37,0.5
0.0218946169,0.38,0.5
0.021931848,0.39,0.5
0.0219799545,0.4,0.5
0.0220448209,0.41,0.5
0.0221390803,0.42,0.5
0.0222987018,0.43,0.5
0.0228381598,0.44,0.5
0.025424887,0.45,0.5
0.0292961058,0.46,0.5
0.0342962875,0.47,0.5
0.041270259,0.48,0.5
0.0559182443,0.49,0.5
1.04334558,0.5,0.5
1.7977277,0.51,0.5
1.80014069,0.52,0.5
1.8000017,0.53,0.5
1.79999982,0.54,0.5
1.79999953,0.55,0.5
1.79999964,0.56,0.5
1.79999965,0.57,0.5
1.79999965,0.58,0.5
1.79999966,0.59,0.5
1.79999966,0.6,0.5
1.79999967,0.61,0.5
1.79999967,0.62,0.5
1.79999967,0.63,0.5
1.79999967,0.64,0.5
1.79999968,0.65,0.5
1.79999968,0.66,0.5
1.79999968,0.67,0.5
1.79999968,0.68,0.5
1.79999968,0.69,0.5
1.79999969,0.7,0.5
1.79999969,0.71,0.5
1.79999969,0.72,0.5
1.7999997,0.73,0.5
1.7999997,0.74,0.5
1.7999997,0.75,0.5
1.7999997,0.76,0.5
1.79999971,0.77,0.5
1.79999971,0.78,0.5
1.79999971,0.79,0.5
1.79999971,0.8,0.5
1.79999971,0.81,0.5
1.79999972,0.82,0.5
1.79999972,0.83,0.5
1.79999972,0.84,0.5
1.79999973,0.85,0.5
1.79999974,0.86,0.5
1.79999974,0.87,0.5
1.79999974,0.88,0.5
1.79999975,0.89,0.5
1.79999975,0.9,0.5
1.79999976,0.91,0.5
1.79999977,0.92,0.5
1.79999977,0.93,0.5
1.79999977,0.94,0.5
1.79999978,0.95,0.5
1.79999978,0.96,0.5
1.79999978,0.97,0.5
1.79999979,0.98,0.5
1.79999979,0.99,0.5
1.79999979,1,0.5
1.79999979,1.01,0.5
1.79999979,1.02,0.5
1.7999998,1.03,0.5
1.7999998,1.04,0.5
1.7999998,1.05,0.5
1.7999998,1.06,0.5
1.7999998,1.07,0.5
1.7999998,1.08,0.5
1.7999998,1.09,0.5
1.7999998,1.1,0.5
1.7999998,1.11,0.5
1.7999998,1.12,0.5
1.7999998,1.13,0.5
1.7999998,1.14,0.5
1.7999998,1.15,0.5
1.7999998,1.16,0.5
1.7999998,1.17,0.5
1.7999998,1.18,0.5
1.7999998,1.19,0.5
1.7999998,1.2,0.5
1.7999998,1.21,0.5
1.7999998,1.22,0.5
1.7999998,1.23,0.5
1.7999998,1.24,0.5
1.7999998,1.25,0.5
1.7999998,1.26,0.5
1.7999998,1.27,0.5
1.7999998,1.28,0.5
1.7999998,1.29,0.5
1.7999998,1.3,0.5
1.7999998,1.31,0.5
1.7999998,1.32,0.5
1.7999998,1.33,0.5
1.7999998,1.34,0.5
1.7999998,1.35,0.5
1.7999998,1.36,0.5
1.7999998,1.37,0.5
1.7999998,1.38,0.5
1.7999998,1.39,0.5
1.7999998,1.4,0.5
1.7999998,1.41,0.5
1.7999998,1.42,0.5
1.7999998,1.43,0.5
1.7999998,1.44,0.5
1.7999998,1.45,0.5
1.7999998,1.46,0.5
1.7999998,1.47,0.5
1.7999998,1.48,0.5
1.7999998,1.49,0.5
1.7999998,1.5,0.5
1.7999998,1.51,0.5
1.7999998,1.52,0.5
1.7999998,1.53,0.5
1.7999998,1.54,0.5
1.7999998,1.55,0.5
1.7999998,1.56,0.5
1.7999998,1.57,0.5
1.7999998,1.58,0.5
1.7999998,1.59,0.5
1.7999998,1.6,0.5
1.7999998,1.61,0.5
1.7999998,1.62,0.5
1.7999998,1.63,0.5
1.7999998,1.64,0.5
1.7999998,1.65,0.5
1.7999998,1.66,0.5
1.7999998,1.67,0.5
1.7999998,1.68,0.5
1.7999998,1.69,0.5
1.7999998,1.7,0.5
1.7999998,1.71,0.5
1.7999998,1.72,0.5
1.7999998,1.73,0.5
1.7999998,1.74,0.5
