Iout,V1,V2,Vout
-3.66558446E-07,0.30189,0.5,0.9
-3.66558382E-07,0.3019,0.5,0.9
-3.66558226E-07,0.30191,0.5,0.9
-3.66558112E-07,0.30192,0.5,0.9
-3.66558005E-07,0.30193,0.5,0.9
-3.66557842E-07,0.30194,0.5,0.9
-3.665577E-07,0.30195,0.5,0.9
-3.66557579E-07,0.30196,0.5,0.9
-3.66557479E-07,0.30197,0.5,0.9
-3.66557366E-07,0.30198,0.5,0.9
-3.6655716E-07,0.30199,0.5,0.9
-3.66557082E-07,0.302,0.5,0.9
-3.66557039E-07,0.30201,0.5,0.9
-3.66556911E-07,0.30202,0.5,0.9
-3.66556726E-07,0.30203,0.5,0.9
-3.66556662E-07,0.30204,0.5,0.9
-3.66556563E-07,0.30205,0.5,0.9
-3.66556456E-07,0.30206,0.5,0.9
-3.6655625E-07,0.30207,0.5,0.9
-3.66556158E-07,0.30208,0.5,0.9
-3.6655603E-07,0.30209,0.5,0.9
-3.6655593E-07,0.3021,0.5,0.9
-3.66555739E-07,0.30211,0.5,0.9
-3.66555668E-07,0.30212,0.5,0.9
-3.66555547E-07,0.30213,0.5,0.9
-3.66555483E-07,0.30214,0.5,0.9
-3.66555305E-07,0.30215,0.5,0.9
-3.66555192E-07,0.30216,0.5,0.9
-3.66555142E-07,0.30217,0.5,0.9
-3.66554978E-07,0.30218,0.5,0.9
-3.66554794E-07,0.30219,0.5,0.9
-3.66554737E-07,0.3022,0.5,0.9
-3.66554652E-07,0.30221,0.5,0.9
-3.66554517E-07,0.30222,0.5,0.9
-3.66554417E-07,0.30223,0.5,0.9
-3.66554197E-07,0.30224,0.5,0.9
-3.66554225E-07,0.30225,0.5,0.9
-3.66554062E-07,0.30226,0.5,0.9
-3.66553977E-07,0.30227,0.5,0.9
-3.66553778E-07,0.30228,0.5,0.9
-3.66553657E-07,0.30229,0.5,0.9
-3.66553543E-07,0.3023,0.5,0.9
-3.66553493E-07,0.30231,0.5,0.9
-3.66553373E-07,0.30232,0.5,0.9
-3.66553209E-07,0.30233,0.5,0.9
-3.66553117E-07,0.30234,0.5,0.9
-3.66553003E-07,0.30235,0.5,0.9
-3.66552868E-07,0.30236,0.5,0.9
-3.66552747E-07,0.30237,0.5,0.9
-3.66552591E-07,0.30238,0.5,0.9
-3.66552563E-07,0.30239,0.5,0.9
-3.66552321E-07,0.3024,0.5,0.9
-3.66552285E-07,0.30241,0.5,0.9
-3.66552158E-07,0.30242,0.5,0.9
-3.66552072E-07,0.30243,0.5,0.9
-3.66551873E-07,0.30244,0.5,0.9
-3.66551788E-07,0.30245,0.5,0.9
-3.66551689E-07,0.30246,0.5,0.9
-3.66551568E-07,0.30247,0.5,0.9
-3.66551369E-07,0.30248,0.5,0.9
-3.66551333E-07,0.30249,0.5,0.9
-3.66551191E-07,0.3025,0.5,0.9
-3.66551099E-07,0.30251,0.5,0.9
-3.66550893E-07,0.30252,0.5,0.9
-3.66550829E-07,0.30253,0.5,0.9
-3.66550715E-07,0.30254,0.5,0.9
-3.66550609E-07,0.30255,0.5,0.9
-3.66550424E-07,0.30256,0.5,0.9
-3.66550374E-07,0.30257,0.5,0.9
-3.66550232E-07,0.30258,0.5,0.9
-3.66550111E-07,0.30259,0.5,0.9
-3.66549926E-07,0.3026,0.5,0.9
-3.66549841E-07,0.30261,0.5,0.9
-3.66549692E-07,0.30262,0.5,0.9
-3.66549521E-07,0.30263,0.5,0.9
-3.66549479E-07,0.30264,0.5,0.9
-3.66549401E-07,0.30265,0.5,0.9
-3.66549308E-07,0.30266,0.5,0.9
-3.66549138E-07,0.30267,0.5,0.9
-3.66549031E-07,0.30268,0.5,0.9
-3.6654891E-07,0.30269,0.5,0.9
-3.66548775E-07,0.3027,0.5,0.9
-3.66548676E-07,0.30271,0.5,0.9
-3.66548576E-07,0.30272,0.5,0.9
-3.66548484E-07,0.30273,0.5,0.9
-3.66548306E-07,0.30274,0.5,0.9
-3.66548136E-07,0.30275,0.5,0.9
-3.66548058E-07,0.30276,0.5,0.9
-3.66547972E-07,0.30277,0.5,0.9
-3.66547845E-07,0.30278,0.5,0.9
-3.66547638E-07,0.30279,0.5,0.9
-3.66547511E-07,0.3028,0.5,0.9
-3.66547496E-07,0.30281,0.5,0.9
-3.66547376E-07,0.30282,0.5,0.9
-3.66547155E-07,0.30283,0.5,0.9
-3.66547084E-07,0.30284,0.5,0.9
-3.66546971E-07,0.30285,0.5,0.9
-3.66546928E-07,0.30286,0.5,0.9
-3.6654675E-07,0.30287,0.5,0.9
-3.66546608E-07,0.30288,0.5,0.9
-3.66546537E-07,0.30289,0.5,0.9
-3.66546459E-07,0.3029,0.5,0.9
-3.66546267E-07,0.30291,0.5,0.9
-3.66546153E-07,0.30292,0.5,0.9
-3.66546033E-07,0.30293,0.5,0.9
-3.66545855E-07,0.30294,0.5,0.9
-3.66545763E-07,0.30295,0.5,0.9
-3.66545699E-07,0.30296,0.5,0.9
-3.66545585E-07,0.30297,0.5,0.9
-3.66545393E-07,0.30298,0.5,0.9
-3.66545287E-07,0.30299,0.5,0.9
-3.66545187E-07,0.303,0.5,0.9
-3.66545123E-07,0.30301,0.5,0.9
-3.66544924E-07,0.30302,0.5,0.9
-3.66544832E-07,0.30303,0.5,0.9
-3.66544732E-07,0.30304,0.5,0.9
-3.6654459E-07,0.30305,0.5,0.9
-3.66544427E-07,0.30306,0.5,0.9
-3.66544363E-07,0.30307,0.5,0.9
-3.66544256E-07,0.30308,0.5,0.9
-3.66544157E-07,0.30309,0.5,0.9
-3.66543993E-07,0.3031,0.5,0.9
-3.66543865E-07,0.30311,0.5,0.9
-3.66543809E-07,0.30312,0.5,0.9
-3.66543652E-07,0.30313,0.5,0.9
-3.66543489E-07,0.30314,0.5,0.9
-3.66543368E-07,0.30315,0.5,0.9
-3.6654329E-07,0.30316,0.5,0.9
-3.66543141E-07,0.30317,0.5,0.9
-3.6654302E-07,0.30318,0.5,0.9
-3.66542857E-07,0.30319,0.5,0.9
-3.66542785E-07,0.3032,0.5,0.9
-3.66542587E-07,0.30321,0.5,0.9
-3.66542551E-07,0.30322,0.5,0.9
-3.66542437E-07,0.30323,0.5,0.9
-3.66542324E-07,0.30324,0.5,0.9
-3.6654216E-07,0.30325,0.5,0.9
-3.66542096E-07,0.30326,0.5,0.9
-3.66541961E-07,0.30327,0.5,0.9
-3.66541776E-07,0.30328,0.5,0.9
-3.66541663E-07,0.30329,0.5,0.9
-3.66541556E-07,0.3033,0.5,0.9
-3.66541499E-07,0.30331,0.5,0.9
-3.66541286E-07,0.30332,0.5,0.9
-3.66541265E-07,0.30333,0.5,0.9
-3.66541123E-07,0.30334,0.5,0.9
-3.66541016E-07,0.30335,0.5,0.9
-3.6654081E-07,0.30336,0.5,0.9
-3.66540732E-07,0.30337,0.5,0.9
-3.6654059E-07,0.30338,0.5,0.9
-3.66540519E-07,0.30339,0.5,0.9
-3.66540313E-07,0.3034,0.5,0.9
-3.66540256E-07,0.30341,0.5,0.9
-3.66540164E-07,0.30342,0.5,0.9
-3.66540007E-07,0.30343,0.5,0.9
-3.66539851E-07,0.30344,0.5,0.9
-3.6653978E-07,0.30345,0.5,0.9
-3.66539666E-07,0.30346,0.5,0.9
-3.66539545E-07,0.30347,0.5,0.9
-3.66539446E-07,0.30348,0.5,0.9
-3.66539275E-07,0.30349,0.5,0.9
-3.66539169E-07,0.3035,0.5,0.9
-3.66538956E-07,0.30351,0.5,0.9
-3.66538906E-07,0.30352,0.5,0.9
-3.6653875E-07,0.30353,0.5,0.9
-3.66538622E-07,0.30354,0.5,0.9
-3.66538558E-07,0.30355,0.5,0.9
-3.6653848E-07,0.30356,0.5,0.9
-3.6653833E-07,0.30357,0.5,0.9
-3.66538139E-07,0.30358,0.5,0.9
-3.66538053E-07,0.30359,0.5,0.9
-3.66537996E-07,0.3036,0.5,0.9
-3.6653789E-07,0.30361,0.5,0.9
-3.6653767E-07,0.30362,0.5,0.9
-3.66537577E-07,0.30363,0.5,0.9
-3.66537463E-07,0.30364,0.5,0.9
-3.66537286E-07,0.30365,0.5,0.9
-3.66537201E-07,0.30366,0.5,0.9
-3.66537101E-07,0.30367,0.5,0.9
-3.66537016E-07,0.30368,0.5,0.9
-3.66536874E-07,0.30369,0.5,0.9
-3.6653671E-07,0.3037,0.5,0.9
-3.66536639E-07,0.30371,0.5,0.9
-3.6653649E-07,0.30372,0.5,0.9
-3.6653632E-07,0.30373,0.5,0.9
-3.6653627E-07,0.30374,0.5,0.9
-3.66536149E-07,0.30375,0.5,0.9
-3.66535978E-07,0.30376,0.5,0.9
-3.66535858E-07,0.30377,0.5,0.9
-3.66535808E-07,0.30378,0.5,0.9
-3.66535708E-07,0.30379,0.5,0.9
-3.66535538E-07,0.3038,0.5,0.9
-3.66535396E-07,0.30381,0.5,0.9
-3.66535261E-07,0.30382,0.5,0.9
-3.66535176E-07,0.30383,0.5,0.9
-3.66535069E-07,0.30384,0.5,0.9
-3.66534898E-07,0.30385,0.5,0.9
-3.66534827E-07,0.30386,0.5,0.9
-3.66534643E-07,0.30387,0.5,0.9
-3.6653455E-07,0.30388,0.5,0.9
-3.66534415E-07,0.30389,0.5,0.9
-3.6653428E-07,0.3039,0.5,0.9
-3.66534238E-07,0.30391,0.5,0.9
-3.66534088E-07,0.30392,0.5,0.9
-3.66533982E-07,0.30393,0.5,0.9
-3.6653379E-07,0.30394,0.5,0.9
-3.66533676E-07,0.30395,0.5,0.9
-3.6653357E-07,0.30396,0.5,0.9
-3.66533435E-07,0.30397,0.5,0.9
-3.66533314E-07,0.30398,0.5,0.9
-3.66533222E-07,0.30399,0.5,0.9
-3.6653315E-07,0.304,0.5,0.9
-3.66532966E-07,0.30401,0.5,0.9
-3.66532788E-07,0.30402,0.5,0.9
-3.66532696E-07,0.30403,0.5,0.9
-3.66532547E-07,0.30404,0.5,0.9
-3.66532454E-07,0.30405,0.5,0.9
-3.66532376E-07,0.30406,0.5,0.9
